"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.175933458E0,-2.348010093E-1,-5.454899669E-1,1.042154193E0,1.199489967E0
1.185918458E0,-3.617035449E-1,-7.044817209E-1,1.106001139E0,1.360280290E0
1.195904458E0,-5.061265230E-1,-8.843763471E-1,1.096668363E0,1.496985998E0
1.205890458E0,-6.470574737E-1,-1.059907556E0,1.059832692E0,1.632584680E0
1.215876458E0,-7.509346008E-1,-1.181805491E0,1.037531853E0,1.742710343E0
1.225861458E0,-8.020309806E-1,-1.223346472E0,1.040925622E0,1.795370835E0
1.235847458E0,-7.948351502E-1,-1.163966775E0,1.066792846E0,1.767661886E0
1.245833458E0,-7.329001427E-1,-1.048223019E0,1.122044325E0,1.701439856E0
1.255818458E0,-6.249036193E-1,-9.289941192E-1,1.203603625E0,1.643835848E0
1.265804458E0,-5.000948906E-1,-7.890260816E-1,1.304929137E0,1.604835540E0
1.275790458E0,-3.704788387E-1,-6.185629964E-1,1.424739122E0,1.596795640E0
1.285776458E0,-2.474494874E-1,-4.464222193E-1,1.562764406E0,1.644006276E0
1.295761458E0,-1.459532231E-1,-3.067069352E-1,1.714961648E0,1.748274847E0
1.305747458E0,-6.437546015E-2,-2.373315394E-1,1.865336537E0,1.881475713E0
1.315733458E0,4.636094440E-3,-2.315628678E-1,1.994040132E0,2.007445865E0
1.325718458E0,7.101163268E-2,-2.395404428E-1,2.097253799E0,2.112083278E0
1.335704458E0,1.292147487E-1,-2.425418347E-1,2.162969828E0,2.180358105E0
1.345690458E0,1.656227410E-1,-2.303214520E-1,2.185502768E0,2.203837837E0
1.355676458E0,1.725893170E-1,-2.348687947E-1,2.179372787E0,2.198776062E0
1.365661458E0,1.577498019E-1,-3.112745881E-1,2.168010712E0,2.195916054E0
1.375647458E0,1.258808225E-1,-4.190993011E-1,2.182495594E0,2.225932888E0
1.385633458E0,8.298730105E-2,-4.998350441E-1,2.240413427E0,2.296992444E0
1.395619458E0,3.888774291E-2,-5.549036264E-1,2.329802752E0,2.395289367E0
1.405604458E0,-1.085357927E-2,-5.931037664E-1,2.439297676E0,2.510391011E0
1.415590458E0,-6.286245584E-2,-6.077657938E-1,2.547930002E0,2.620167599E0
1.425576458E0,-1.111428961E-1,-5.754532814E-1,2.644424677E0,2.708593933E0
1.435561458E0,-1.594284028E-1,-5.063980818E-1,2.730674028E0,2.781804645E0
1.445547458E0,-1.957639456E-1,-4.489113092E-1,2.808374643E0,2.850756570E0
1.455533458E0,-2.186439633E-1,-4.315554798E-1,2.872793913E0,2.913243927E0
1.465519458E0,-2.157810330E-1,-4.242665172E-1,2.928954601E0,2.967379077E0
1.475504458E0,-1.798022538E-1,-4.046027958E-1,2.972512245E0,3.005305529E0
1.485490458E0,-1.219293252E-1,-3.812874556E-1,3.000237703E0,3.026825591E0
1.495476458E0,-4.961624369E-2,-3.766543567E-1,3.017983437E0,3.041801160E0
1.505461458E0,3.356799856E-2,-3.840688169E-1,3.049784184E0,3.074055828E0
1.515447458E0,1.239556894E-1,-3.932809532E-1,3.116280317E0,3.143443643E0
1.525433458E0,2.202674299E-1,-4.063773751E-1,3.226951599E0,3.259889099E0
1.535419458E0,3.159425557E-1,-4.103793204E-1,3.352025509E0,3.391799802E0
1.545404458E0,4.095371366E-1,-4.105098546E-1,3.464175463E0,3.512371086E0
1.555390458E0,4.951298237E-1,-4.096885324E-1,3.526187897E0,3.584271100E0
1.565376458E0,5.763927698E-1,-3.899200857E-1,3.517403126E0,3.585580992E0
1.575362458E0,6.442972422E-1,-3.386824727E-1,3.431252003E0,3.507608168E0
1.585347458E0,6.878007650E-1,-2.764649987E-1,3.293248415E0,3.375646295E0
1.595333458E0,7.022950053E-1,-2.430444509E-1,3.131769657E0,3.218737340E0
1.605319458E0,6.861231923E-1,-2.926039994E-1,2.980835915E0,3.072745496E0
1.615304458E0,6.575804949E-1,-4.228842556E-1,2.863547802E0,2.968358000E0
1.625290458E0,6.286553741E-1,-5.459479094E-1,2.784423351E0,2.906248458E0
1.635276458E0,5.987616181E-1,-5.857499242E-1,2.724236965E0,2.850102716E0
1.645262458E0,5.632585287E-1,-5.496202707E-1,2.652615547E0,2.766895707E0
1.655247458E0,5.001818538E-1,-4.707427621E-1,2.556534290E0,2.647196293E0
1.665233458E0,4.058897793E-1,-4.402646720E-1,2.440248013E0,2.512645987E0
1.675219458E0,3.008506894E-1,-5.007677078E-1,2.322118044E0,2.394475234E0
1.685204458E0,1.912970245E-1,-5.485475659E-1,2.218317270E0,2.293126794E0
1.695190458E0,7.653289288E-2,-5.488697886E-1,2.118846893E0,2.190120427E0
1.705176458E0,-4.060054198E-2,-5.362137556E-1,2.017244816E0,2.087690169E0
1.715162458E0,-1.553260535E-1,-4.682280719E-1,1.897678256E0,1.960751507E0
1.725147458E0,-2.876331508E-1,-3.266173601E-1,1.752960086E0,1.806178505E0
1.735133458E0,-4.418490827E-1,-1.674247682E-1,1.625327826E0,1.692616969E0
1.745119458E0,-6.173086762E-1,-8.072081208E-2,1.546847463E0,1.667430036E0
1.755103333E0,-7.892988324E-1,-1.697867662E-1,1.545004606E0,1.743232465E0
1.765089333E0,-9.268522263E-1,-4.329916835E-1,1.599172831E0,1.898391580E0
1.775075333E0,-1.017359972E0,-7.282097340E-1,1.676576257E0,2.091941365E0
1.785061333E0,-1.076406598E0,-9.112786651E-1,1.736182690E0,2.236830414E0
1.795046333E0,-1.098096728E0,-1.016695380E0,1.751644969E0,2.303854600E0
1.805032333E0,-1.079627633E0,-1.041133642E0,1.714164138E0,2.277699229E0
1.815018333E0,-1.035322666E0,-9.649164081E-1,1.636756420E0,2.163776392E0
1.825003333E0,-9.765218496E-1,-8.617258072E-1,1.538794875E0,2.015950386E0
1.834989333E0,-9.021062255E-1,-7.919840217E-1,1.423151135E0,1.861825311E0
1.844975333E0,-8.178386092E-1,-7.016363740E-1,1.297177315E0,1.686363715E0
1.854961333E0,-7.246777415E-1,-5.804457664E-1,1.189022422E0,1.508591872E0
1.864946333E0,-6.217677593E-1,-4.811537266E-1,1.120944500E0,1.369167859E0
1.874932333E0,-5.212017298E-1,-3.971605599E-1,1.077264667E0,1.260907179E0
1.884918333E0,-4.344475567E-1,-4.462339580E-1,1.043767571E0,1.215450603E0
1.894903333E0,-3.678980768E-1,-5.983029008E-1,1.055164337E0,1.267551630E0
1.904889333E0,-3.311513364E-1,-8.048683405E-1,1.087599874E0,1.392963653E0
1.914875333E0,-3.192086518E-1,-1.219038367E0,1.116489291E0,1.683596460E0
1.924861333E0,-3.069000840E-1,-1.837314010E0,1.151128769E0,2.189750642E0
1.934846333E0,-2.995084822E-1,-2.290850401E0,1.186301470E0,2.597116106E0
1.944832333E0,-2.852173746E-1,-2.474361181E0,1.209588766E0,2.768919860E0
1.954818333E0,-2.490737438E-1,-2.248436928E0,1.300414801E0,2.609326542E0
1.964803333E0,-2.166544646E-1,-1.728688836E0,1.450889826E0,2.267241834E0
1.974789333E0,-2.372420281E-1,-1.119443655E0,1.607144713E0,1.972904460E0
1.984775333E0,-3.175912499E-1,-4.358533025E-1,1.744863272E0,1.826302314E0
1.994761333E0,-4.399304688E-1,3.345099688E-1,1.849853516E0,1.930645945E0
2.004746333E0,-5.753772855E-1,1.206115365E0,1.907164812E0,2.328744493E0
